,MSOA_code,
0,E02001329,Knowsley 003
1,E02001331,Knowsley 005
2,E02001332,Knowsley 006
3,E02001336,Knowsley 010
4,E02001343,Knowsley 017
5,E02001344,Knowsley 018
6,E02001345,Knowsley 019
7,E02001346,Knowsley 020
9,E02001327,Knowsley 001
10,E02001328,Knowsley 002
11,E02001330,Knowsley 004
12,E02001333,Knowsley 007
13,E02001334,Knowsley 008
14,E02001335,Knowsley 009
15,E02001337,Knowsley 011
16,E02001338,Knowsley 012
17,E02001339,Knowsley 013
18,E02001340,Knowsley 014
19,E02001341,Knowsley 015
20,E02001342,Knowsley 016
21,E02001377,Liverpool 031
22,E02001383,Liverpool 037
23,E02001389,Liverpool 043
24,E02001390,Liverpool 044
25,E02001394,Liverpool 048
26,E02001395,Liverpool 049
27,E02001398,Liverpool 052
28,E02001399,Liverpool 053
29,E02001402,Liverpool 056
30,E02006932,Liverpool 060
31,E02001361,Liverpool 015
32,E02001364,Liverpool 018
33,E02001365,Liverpool 019
34,E02001370,Liverpool 024
35,E02001384,Liverpool 038
36,E02001385,Liverpool 039
37,E02001388,Liverpool 042
38,E02001393,Liverpool 047
39,E02001400,Liverpool 054
40,E02001401,Liverpool 055
41,E02001369,Liverpool 023
42,E02001371,Liverpool 025
43,E02001372,Liverpool 026
44,E02001375,Liverpool 029
45,E02001378,Liverpool 032
46,E02001380,Liverpool 034
47,E02001382,Liverpool 036
48,E02001387,Liverpool 041
49,E02001354,Liverpool 008
50,E02001355,Liverpool 009
51,E02001356,Liverpool 010
52,E02001357,Liverpool 011
53,E02001358,Liverpool 012
54,E02001362,Liverpool 016
55,E02001366,Liverpool 020
56,E02001359,Liverpool 013
57,E02001363,Liverpool 017
58,E02001367,Liverpool 021
59,E02001396,Liverpool 050
60,E02001347,Liverpool 001
61,E02001348,Liverpool 002
62,E02001350,Liverpool 004
63,E02001351,Liverpool 005
64,E02001353,Liverpool 007
65,E02001374,Liverpool 028
66,E02001376,Liverpool 030
67,E02001360,Liverpool 014
68,E02001373,Liverpool 027
69,E02001386,Liverpool 040
70,E02001391,Liverpool 045
71,E02001381,Liverpool 035
72,E02001403,Liverpool 057
73,E02001404,Liverpool 058
74,E02001405,Liverpool 059
75,E02001349,Liverpool 003
76,E02001352,Liverpool 006
77,E02001368,Liverpool 022
78,E02001392,Liverpool 046
79,E02001397,Liverpool 051
80,E02001407,St. Helens 002
81,E02001408,St. Helens 003
82,E02001413,St. Helens 008
83,E02001414,St. Helens 009
84,E02001416,St. Helens 011
85,E02001422,St. Helens 017
86,E02001423,St. Helens 018
87,E02001409,St. Helens 004
88,E02001410,St. Helens 005
89,E02001411,St. Helens 006
90,E02001417,St. Helens 012
91,E02001419,St. Helens 014
92,E02001421,St. Helens 016
93,E02001424,St. Helens 019
94,E02001425,St. Helens 020
95,E02001415,St. Helens 010
96,E02001418,St. Helens 013
97,E02001420,St. Helens 015
98,E02001406,St. Helens 001
99,E02001426,St. Helens 021
100,E02001427,St. Helens 022
101,E02001428,St. Helens 023
102,E02001412,St. Helens 007
103,E02001431,Sefton 003
104,E02001435,Sefton 007
105,E02001437,Sefton 009
106,E02001438,Sefton 010
107,E02001439,Sefton 011
108,E02001440,Sefton 012
109,E02001450,Sefton 022
110,E02001456,Sefton 028
111,E02001429,Sefton 001
112,E02001430,Sefton 002
113,E02001432,Sefton 004
114,E02001458,Sefton 030
115,E02001460,Sefton 032
116,E02001464,Sefton 036
117,E02001465,Sefton 037
118,E02001466,Sefton 038
119,E02001436,Sefton 008
120,E02001441,Sefton 013
121,E02001442,Sefton 014
122,E02001443,Sefton 015
123,E02001452,Sefton 024
124,E02001459,Sefton 031
125,E02001461,Sefton 033
126,E02001449,Sefton 021
127,E02001453,Sefton 025
128,E02001462,Sefton 034
129,E02001463,Sefton 035
130,E02001433,Sefton 005
131,E02001434,Sefton 006
132,E02001444,Sefton 016
133,E02001445,Sefton 017
134,E02001447,Sefton 019
135,E02001448,Sefton 020
136,E02001454,Sefton 026
137,E02001455,Sefton 027
138,E02001457,Sefton 029
139,E02001446,Sefton 018
140,E02001451,Sefton 023
141,E02001477,Wirral 011
142,E02001485,Wirral 019
143,E02001497,Wirral 031
144,E02001498,Wirral 032
145,E02001501,Wirral 035
146,E02001481,Wirral 015
147,E02001482,Wirral 016
148,E02001487,Wirral 021
149,E02001486,Wirral 020
150,E02001490,Wirral 024
151,E02001495,Wirral 029
152,E02001502,Wirral 036
153,E02001504,Wirral 038
154,E02001505,Wirral 039
155,E02001507,Wirral 041
156,E02001508,Wirral 042
157,E02001470,Wirral 004
158,E02001471,Wirral 005
159,E02001472,Wirral 006
160,E02001473,Wirral 007
161,E02001475,Wirral 009
162,E02001478,Wirral 012
163,E02001479,Wirral 013
164,E02001480,Wirral 014
165,E02001488,Wirral 022
166,E02001492,Wirral 026
167,E02001493,Wirral 027
168,E02001500,Wirral 034
169,E02001503,Wirral 037
170,E02001506,Wirral 040
171,E02001467,Wirral 001
172,E02001468,Wirral 002
173,E02001483,Wirral 017
174,E02001491,Wirral 025
175,E02001496,Wirral 030
176,E02001474,Wirral 008
177,E02001476,Wirral 010
178,E02001489,Wirral 023
179,E02001494,Wirral 028
180,E02001499,Wirral 033
181,E02001469,Wirral 003
182,E02002574,Halton 001